Iteration;car_travel;car_wait;ebike_travel;ebike_wait;escoot_travel;escoot_wait;stageActivity_travel;stageActivity_wait
0;202;0;0;0;0;0;0;0
1;270;0;40;0;33;0;0;0
2;237;0;72;0;59;0;0;0
3;210;0;94;0;79;0;0;0
4;191;0;104;0;97;0;0;0
5;171;0;118;0;109;0;0;0
6;161;0;125;0;116;0;0;0
7;157;0;130;0;117;0;0;0
8;148;0;133;0;124;0;0;0
9;140;0;140;0;128;0;0;0
10;135;0;147;0;129;0;0;0
11;127;0;150;0;137;0;0;0
12;129;0;144;0;143;0;0;0
13;124;0;149;0;144;0;0;0
14;120;0;161;0;140;0;0;0
15;124;0;155;0;139;0;0;0
16;123;0;158;0;137;0;0;0
17;122;0;165;0;133;0;0;0
18;122;0;169;0;130;0;0;0
19;126;0;173;0;119;0;0;0
20;130;0;171;0;115;0;0;0
21;133;0;168;0;112;0;0;0
22;137;0;167;0;108;0;0;0
23;136;0;163;0;113;0;0;0
24;142;0;169;0;98;0;0;0
25;139;0;167;0;103;0;0;0
26;145;0;165;0;99;0;0;0
27;143;0;175;0;89;0;0;0
28;148;0;171;0;86;0;0;0
29;151;0;173;0;80;0;0;0
30;143;0;180;0;84;0;0;0
31;154;0;169;0;78;0;0;0
32;162;0;165;0;71;0;0;0
33;167;0;166;0;63;0;0;0
34;158;0;169;0;73;0;0;0
35;165;0;167;0;67;0;0;0
36;166;0;169;0;59;0;0;0
37;169;0;167;0;58;0;0;0
38;169;0;159;0;64;0;0;0
39;175;0;156;0;61;0;0;0
40;169;0;160;0;65;0;0;0
41;177;0;153;0;57;0;0;0
42;180;0;152;0;56;0;0;0
43;189;0;146;0;49;0;0;0
44;187;0;141;0;57;0;0;0
45;194;0;138;0;49;0;0;0
46;193;0;143;0;46;0;0;0
47;195;0;133;0;51;0;0;0
48;201;0;131;0;49;0;0;0
49;203;0;131;0;45;0;0;0
50;206;0;125;0;46;0;0;0
51;204;0;123;0;47;0;0;0
52;214;0;125;0;37;0;0;0
53;204;0;130;0;42;0;0;0
54;216;0;117;0;42;0;0;0
55;214;0;110;0;46;0;0;0
56;222;0;108;0;39;0;0;0
57;217;0;109;0;42;0;0;0
58;226;0;107;0;35;0;0;0
59;220;0;102;0;44;0;0;0
60;228;0;97;0;42;0;0;0
61;230;0;97;0;35;0;0;0
62;230;0;94;0;39;0;0;0
63;235;0;87;0;40;0;0;0
64;229;0;89;0;46;0;0;0
65;237;0;91;0;35;0;0;0
66;228;0;92;0;45;0;0;0
67;242;0;81;0;35;0;0;0
68;238;0;79;0;41;0;0;0
69;245;0;77;0;36;0;0;0
70;244;0;79;0;33;0;0;0
71;244;0;78;0;34;0;0;0
72;246;0;76;0;33;0;0;0
73;247;0;72;0;33;0;0;0
74;247;0;74;0;38;0;0;0
75;242;0;74;0;43;0;0;0
76;247;0;74;0;34;0;0;0
77;251;0;68;0;32;0;0;0
78;248;0;66;0;38;0;0;0
79;254;0;61;0;34;0;0;0
80;251;0;64;0;38;0;0;0
81;251;0;58;0;44;0;0;0
82;254;0;62;0;34;0;0;0
83;249;0;67;0;37;0;0;0
84;249;0;66;0;36;0;0;0
85;254;0;55;0;44;0;0;0
86;251;0;60;0;40;0;0;0
87;254;0;58;0;40;0;0;0
88;260;0;52;0;35;0;0;0
89;255;0;60;0;36;0;0;0
90;256;0;55;0;37;0;0;0
91;254;0;52;0;46;0;0;0
92;256;0;49;0;43;0;0;0
93;261;0;58;0;30;0;0;0
94;257;0;45;0;45;0;0;0
95;260;0;49;0;40;0;0;0
96;261;0;51;0;33;0;0;0
97;264;0;54;0;28;0;0;0
98;259;0;51;0;37;0;0;0
99;258;0;51;0;42;0;0;0
100;260;0;48;0;37;0;0;0
101;261;0;56;0;34;0;0;0
102;259;0;50;0;40;0;0;0
103;261;0;54;0;37;0;0;0
104;262;0;46;0;37;0;0;0
105;264;0;45;0;38;0;0;0
106;263;0;46;0;34;0;0;0
107;260;0;51;0;42;0;0;0
108;266;0;42;0;35;0;0;0
109;266;0;47;0;36;0;0;0
110;264;0;42;0;39;0;0;0
111;265;0;40;0;43;0;0;0
112;261;0;51;0;31;0;0;0
113;269;0;45;0;31;0;0;0
114;260;0;50;0;36;0;0;0
115;268;0;48;0;30;0;0;0
116;258;0;49;0;41;0;0;0
117;263;0;51;0;33;0;0;0
118;262;0;43;0;43;0;0;0
119;260;0;43;0;44;0;0;0
120;265;0;39;0;39;0;0;0
121;260;0;42;0;43;0;0;0
122;260;0;50;0;35;0;0;0
123;263;0;39;0;40;0;0;0
124;269;0;39;0;32;0;0;0
125;264;0;46;0;34;0;0;0
126;264;0;41;0;36;0;0;0
127;263;0;42;0;38;0;0;0
128;264;0;47;0;32;0;0;0
129;263;0;48;0;34;0;0;0
130;263;0;43;0;35;0;0;0
131;268;0;38;0;37;0;0;0
132;261;0;41;0;42;0;0;0
133;263;0;44;0;36;0;0;0
134;269;0;42;0;32;0;0;0
135;271;0;33;0;32;0;0;0
136;266;0;41;0;34;0;0;0
137;266;0;38;0;36;0;0;0
138;265;0;46;0;36;0;0;0
139;267;0;39;0;33;0;0;0
140;266;0;42;0;38;0;0;0
141;262;0;36;0;43;0;0;0
142;266;0;44;0;36;0;0;0
143;267;0;33;0;39;0;0;0
144;268;0;36;0;39;0;0;0
145;263;0;42;0;39;0;0;0
146;270;0;36;0;34;0;0;0
147;265;0;34;0;41;0;0;0
148;267;0;37;0;38;0;0;0
149;269;0;31;0;36;0;0;0
150;267;0;37;0;37;0;0;0
151;266;0;31;0;42;0;0;0
152;269;0;41;0;31;0;0;0
153;262;0;39;0;42;0;0;0
154;266;0;46;0;35;0;0;0
155;262;0;41;0;39;0;0;0
156;264;0;44;0;36;0;0;0
157;265;0;35;0;40;0;0;0
158;267;0;40;0;37;0;0;0
159;264;0;38;0;39;0;0;0
160;272;0;34;0;30;0;0;0
161;263;0;39;0;40;0;0;0
162;268;0;37;0;40;0;0;0
163;263;0;38;0;39;0;0;0
164;265;0;38;0;44;0;0;0
165;267;0;35;0;35;0;0;0
166;266;0;45;0;37;0;0;0
167;268;0;31;0;40;0;0;0
168;272;0;40;0;32;0;0;0
169;265;0;33;0;40;0;0;0
170;267;0;38;0;37;0;0;0
171;267;0;38;0;35;0;0;0
172;265;0;41;0;42;0;0;0
173;266;0;36;0;34;0;0;0
174;273;0;37;0;30;0;0;0
175;263;0;32;0;42;0;0;0
176;269;0;37;0;39;0;0;0
177;261;0;38;0;38;0;0;0
178;266;0;41;0;41;0;0;0
179;262;0;34;0;40;0;0;0
180;273;0;34;0;35;0;0;0
181;263;0;32;0;38;0;0;0
182;274;0;34;0;35;0;0;0
183;264;0;39;0;30;0;0;0
184;269;0;42;0;35;0;0;0
185;260;0;39;0;38;0;0;0
186;271;0;38;0;35;0;0;0
187;266;0;29;0;31;0;0;0
188;270;0;36;0;39;0;0;0
189;258;0;40;0;38;0;0;0
190;273;0;37;0;34;0;0;0
191;265;0;31;0;37;0;0;0
192;267;0;32;0;47;0;0;0
193;260;0;38;0;39;0;0;0
194;265;0;42;0;41;0;0;0
195;262;0;33;0;41;0;0;0
196;267;0;40;0;41;0;0;0
197;259;0;37;0;43;0;0;0
198;269;0;40;0;37;0;0;0
199;260;0;33;0;43;0;0;0
200;277;0;32;0;28;0;0;0
201;264;0;38;0;32;0;0;0
