iteration;avg_executed;avg_worst;avg_average;avg_best
0;139.17813180764455;139.17813180764455;139.17813180764455;139.17813180764455
1;138.05520121769726;138.05520121769726;138.34545596961013;138.6357107215232
2;137.67173680850973;137.62620462154229;138.12594902760654;138.62257254577597
3;137.39859138183166;137.24767104624434;137.94343752181086;138.61659694518656
4;137.2126425923303;136.9461614619008;137.80367339524898;138.61810433350485
5;137.06709209692244;136.64629190553646;137.6672988185008;138.62324107019595
6;136.9808533017518;136.39903574507449;137.55881147642128;138.62263343309604
7;136.958159061671;136.23666493551863;137.4903758214506;138.62414569681513
8;136.89065505259617;136.05902625340713;137.41676581503864;138.62675198232162
9;136.8345030991726;135.85785392879282;137.33730930692641;138.62891630269658
10;136.79749250298468;135.70435095870909;137.27822298596365;138.63007934459716
11;136.7181030201288;135.54552224753215;137.20763997319543;138.63076312758903
12;136.6854411487667;135.4427320810883;137.1688059786932;138.6284845123354
13;136.65333142841334;135.34597484100723;137.12852830428952;138.62903139488802
14;136.6438085148082;135.24556882768098;137.08978450656687;138.62943791309894
15;136.6784559757434;135.18688869603736;137.06919050493036;138.63111540487736
16;136.68412592248308;135.16519944572624;137.06942703952026;138.6298251467773
17;136.7011864766554;135.1472542851028;137.06215072735807;138.62956764198674
18;136.70173326711244;135.16108893973703;137.0668239615422;138.62768862856342
19;136.78352014364427;135.16956237962066;137.0768521152224;138.62729338861118
20;136.83917001843173;135.17225952963298;137.08957037906757;138.62782152640006
21;136.8733562091924;135.18452868417066;137.11076978811482;138.62782037979485
22;136.91163778108412;135.24566086310426;137.13252320206158;138.62513637448825
23;136.8812984704105;135.25077296800248;137.15217807553282;138.62540152701183
24;137.0002301356765;135.32214362438532;137.18690904046562;138.62323972720495
25;136.96246734586518;135.34253922733956;137.20814269215566;138.62373154431012
26;137.00502213218638;135.42193410119995;137.2419368877566;138.61988152026845
27;137.05795943624508;135.47417091095787;137.27156912807192;138.62135785491668
28;137.0930918283299;135.53392733358345;137.30944631554678;138.61991852507947
29;137.14673060843577;135.60898352992623;137.34641151166775;138.61865109074222
30;137.0882594880747;135.65363313516127;137.37165210930493;138.61758617493783
31;137.18664816734966;135.75778661837558;137.4216748591521;138.61900976097107
32;137.2600550278611;135.81084008040082;137.45912178481362;138.61750762111566
33;137.3254109134459;135.91241727202615;137.49915081795172;138.61558490607544
34;137.23027442780267;135.9102333394175;137.51007397882336;138.61628279934658
35;137.27329377084027;135.98522117918475;137.53956781763827;138.61171062763194
36;137.36121771335806;136.08864150659355;137.58080221172148;138.6124157441323
37;137.37808779790558;136.1514849771309;137.61208899789244;138.6127877261667
38;137.3557712430014;136.16329631517766;137.6387017564743;138.612342611457
39;137.3863939762717;136.27090579492088;137.67041105577306;138.61115754506287
40;137.3288884332118;136.27107501807265;137.68827565778935;138.6093042692388
41;137.44268428593477;136.3643311214183;137.72646248963818;138.60965080999495
42;137.44818292990863;136.42747982765388;137.7520545764802;138.60821574330376
43;137.52781981924778;136.49089741088864;137.78621316923324;138.60676616053743
44;137.47803695414723;136.48073366906743;137.79608886674782;138.6063208094468
45;137.55810648544949;136.5613043847465;137.83200138484324;138.60533672948605
46;137.56999157533423;136.61161769034462;137.85377908445486;138.60362506496935
47;137.5604968151144;136.63002408076443;137.87455225640875;138.60533427951876
48;137.57201469269972;136.70886041775938;137.89234445373117;138.60008391837295
49;137.61638655820167;136.7378117871839;137.91687265139277;138.60140860666266
50;137.6258527911775;136.76406313443758;137.93413120634753;138.59794199953842
51;137.63866124382196;136.78062049832107;137.95222498430144;138.60242041987456
52;137.6866855594385;136.87324626612966;137.9770343798751;138.59412043405803
53;137.65927314004068;136.85273634359095;137.98737032103128;138.598766163725
54;137.66684233838137;136.8694692865887;137.99904369168158;138.5925928085443
55;137.6965829399974;136.90206542548938;138.01994984380593;138.59973994571382
56;137.74490518078755;136.98928575167162;138.04158259175998;138.5959972085626
57;137.73695522376522;136.989965889894;138.05269124854442;138.59651968990607
58;137.78511418684974;137.07310701699646;138.07107921223775;138.59202627446462
59;137.74712028470913;137.02254097694484;138.07215508754814;138.59569856864124
60;137.7543999774246;137.068451947215;138.08350265207454;138.58967639190982
61;137.83292959936657;137.1513995707761;138.11107482304251;138.5940342165521
62;137.81054236385228;137.1572132907435;138.1204239725148;138.5931365031934
63;137.82279636661977;137.1838097548743;138.13258861120565;138.59316039520942
64;137.75432161116368;137.159198646369;138.13248350320302;138.5903843725504
65;137.83919956695655;137.24107523990762;138.15414981375181;138.59096195000546
66;137.75212931415706;137.1739158346094;138.14799141026484;138.58956913353322
67;137.88107622571482;137.28653001856318;138.1787744247809;138.5916668768112
68;137.84076341461108;137.26345542051777;138.1797627043787;138.59128192821794
69;137.88057268714255;137.33388960710104;138.19684573288916;138.5908377930648
70;137.91910373823302;137.40273678339184;138.21292075812397;138.5905297664659
71;137.9077489134996;137.38601149692133;138.2187889255286;138.5950217735069
72;137.92128814592826;137.42671325277223;138.2313138378644;138.591308711533
73;137.94780953768264;137.4627326407318;138.24336333773266;138.59540711487526
74;137.86995800005116;137.42417406220747;138.23906595899507;138.58985716836503
75;137.83994268598275;137.41650899173237;138.23894736472045;138.5914893641581
76;137.91739538685528;137.48491033630333;138.2604364895318;138.59138474845554
77;137.96263923473288;137.54148001246554;138.2753771735822;138.59535359756092
78;137.9208008484368;137.52110949744954;138.2731796372588;138.59333063177118
79;137.97525454805037;137.57061485630288;138.28806765404804;138.595316305019
80;137.92659233599838;137.5488963769786;138.28579397224226;138.59167568333606
81;137.87785711648237;137.5170736614066;138.28374264426543;138.59251217444228
82;137.9761128752403;137.6130548766069;138.3047277506402;138.59359723965017
83;137.91951710249725;137.56254849939845;138.3012529217786;138.59637667896908
84;137.93894510387625;137.59627465179977;138.31205680360475;138.5957919781134
85;137.89543914243976;137.5596357933825;138.30823063788478;138.5946263481261
86;137.9229017262271;137.6028266078295;138.31833539625677;138.59378767194252
87;137.9199965577213;137.59123417628103;138.32300617588086;138.59467539964803
88;138.00073535799913;137.70479517161405;138.3419728700363;138.59402370569305
89;137.9484984851334;137.6488737633586;138.33646934094085;138.59871838716822
90;137.97837557023365;137.704773423687;138.34783315070328;138.59486500300181
91;137.89187801017323;137.6499542800344;138.33802444011602;138.5966551224909
92;137.94830363587818;137.6970321278477;138.3491240860319;138.59711169051909
93;138.00993307366835;137.76804531612936;138.36186549348517;138.59620001829794
94;137.93964423930638;137.69893425858052;138.35290663232993;138.59582143871546
95;137.9546847195183;137.6961346210781;138.3559824654533;138.59553219200066
96;138.0245231966115;137.78779571245659;138.37071488651918;138.5946397553259
97;138.04374199680052;137.79614031123856;138.37652679213818;138.5971448816944
98;137.9848270369049;137.76341988708606;138.37021903850336;138.59641192460938
99;137.92587463359243;137.7222253382151;138.36505115842277;138.59659955942655
100;138.0046707796266;137.79601792235607;138.38113894739138;138.59740809055677
101;137.97377407815662;137.79728510796014;138.38002034037748;138.59366751217556
102;137.9492795421661;137.77761496678315;138.37745324342495;138.5946695932446
103;137.94276503660166;137.77619884491477;138.37769371259932;138.59291544906336
104;138.00645368192323;137.83213484976073;138.39086773048328;138.59424392711446
105;137.97734745694507;137.80407014352187;138.3881882562219;138.5962365218984
106;138.03583701828384;137.86385814279225;138.39993523902928;138.5955151023425
107;137.90693132806112;137.7534208365438;138.37922469912527;138.59062560960172
108;138.03659675289748;137.87210860029958;138.40262190153217;138.5965657147094
109;137.98573781373491;137.83191256774415;138.39576621098712;138.59529754552838
110;137.9961049957468;137.8544812826409;138.4009400949314;138.59701425941407
111;137.9540254828097;137.81828811021586;138.39570561615838;138.59509735588514
112;138.04231436346834;137.89649776432555;138.41217105965217;138.59707739911457
113;138.05231865023939;137.91752092680153;138.41686717543888;138.59614246444318
114;137.99377703956492;137.8653045071049;138.4084755963654;138.5954755896804
115;138.04900401305227;137.93678414050976;138.41940230791184;138.59386886502307
116;137.948333783812;137.83574488673852;138.40412828907247;138.5955259011
117;138.01739847629335;137.90761475568158;138.4164977783351;138.5971426427438
118;137.95093160583824;137.84920932933028;138.40637604851352;138.5937934004319
119;137.95585097847098;137.83703861229296;138.4076284961644;138.59664302085213
120;138.0112118219117;137.8939457151792;138.4174382951129;138.59834937642293
121;137.97405656816207;137.85379295136133;138.4132883059744;138.59883808979527
122;138.00044222433536;137.89775158065464;138.42036671584455;138.5969256199065
123;138.0104722633841;137.89930069674384;138.4236155250042;138.60181427964633
124;138.07192991124626;137.96524671947324;138.43461798224754;138.6011316037762
125;138.02825980168384;137.9289507710707;138.42857065267816;138.60222215687352
126;138.03914983166004;137.92876930424126;138.43113575370796;138.60420444108684
127;138.02197148552793;137.91977831183843;138.43027822590517;138.60415021221795
128;138.05232618191562;137.96019374770358;138.4371464527572;138.60539809101067
129;138.0177423272242;137.9302407182668;138.43185583104486;138.60273033317782
130;138.0411512627403;137.95022057501168;138.43692277998426;138.60590594592466
131;138.03695687636124;137.94367756756256;138.4362718342214;138.60428330606317
132;137.97191309348844;137.88394778156916;138.42690041601725;138.60413288807658
133;138.02528455749191;137.94209937546293;138.43640519204303;138.6038190146561
134;138.04726785646918;137.9732134243701;138.44038744752513;138.60083659040092
135;138.11271285527715;138.02405667020577;138.4526051088631;138.60688964062675
136;138.05161764799817;137.9726273020067;138.44297050996568;138.6060899297431
137;138.06213827483356;137.97268714840865;138.44523058613277;138.6108666603922
138;137.9873222417433;137.92178742833755;138.43363443468786;138.60435359501707
139;138.08485458170006;137.99328736982488;138.45032189878302;138.61111970953792
140;137.98107341794923;137.9178932855575;138.43317360123672;138.6029567640903
141;138.00656853972907;137.91950949847396;138.43820603175485;138.61217394159823
142;138.0055478914256;137.94337466753544;138.43830460338594;138.60472755433562
143;138.06007890994354;137.9766118974791;138.44886716088013;138.61053076038007
144;138.01021255006518;137.94926428667003;138.44065432880402;138.60685476461833
145;138.01440173989033;137.93829167027948;138.44155057047786;138.6059978362525
146;138.06002846011427;137.99553394892482;138.44937561905923;138.60819356734132
147;138.03028370500223;137.9567662214017;138.44480870776596;138.6053098259772
148;138.0253856952831;137.96420268359657;138.44473847495019;138.60425708524465
149;138.0848348537216;138.01053121638645;138.4557812772151;138.60951379220998
150;138.04163168291888;137.9798825661252;138.44910652349813;138.60801321376493
151;138.02927621800032;137.96162080022268;138.44804984161973;138.60749674227696
152;138.06958745269606;138.0147655075069;138.45567266509826;138.6098197969347
153;137.99279845475743;137.93983919479078;138.44351492625475;138.60610932424103
154;137.99531093288144;137.9551222394097;138.44349292272418;138.60598666228995
155;138.00870168501726;137.9503139137854;138.44569456470398;138.60925431953143
156;138.0150719375815;137.96387200439207;138.44722507369545;138.60792969284532
157;138.02977077951775;137.96661395087065;138.44942871551936;138.6111259303501
158;138.0114622974162;137.9690751009243;138.44669134040262;138.6059637954081
159;138.02331892353573;137.96677139817547;138.44900177665872;138.6087041192418
160;138.11794873571114;138.05842661436344;138.46513141927645;138.61254364359615
161;138.01552452401393;137.960813199153;138.4483024856274;138.60812454635916
162;137.99725397479034;137.95766696535335;138.44546643517302;138.60608444416036
163;138.03832657617815;137.98030282005712;138.4532308066096;138.609802964677
164;137.95045003916158;137.91401204182128;138.43794625439534;138.60504338759696
165;138.08980596006515;138.02445957590805;138.46170707397465;138.6114463320559
