iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;22:48:34;22:48:34;22:48:34;;;22:48:34;22:48:34;22:48:34;22:48:34;22:48:34;22:48:34;22:48:34;22:48:35;22:48:35;22:48:35;22:48:35;22:48:35;22:48:35;;;22:48:36;22:48:36;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
1;22:48:36;22:48:36;22:48:36;22:48:36;22:48:36;22:48:36;22:48:36;22:48:36;22:48:36;22:48:36;22:48:36;22:48:36;22:48:36;22:48:36;22:48:36;22:48:36;22:48:36;22:48:36;;;22:48:37;22:48:37;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
2;22:48:37;22:48:37;22:48:37;22:48:37;22:48:37;22:48:37;;;22:48:37;22:48:37;22:48:37;22:48:37;22:48:37;22:48:37;22:48:37;22:48:37;22:48:37;22:48:37;;;22:48:38;22:48:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
3;22:48:38;22:48:38;22:48:38;22:48:38;22:48:38;22:48:38;;;22:48:38;22:48:38;22:48:38;22:48:38;22:48:39;22:48:39;22:48:39;22:48:39;22:48:39;22:48:39;;;22:48:39;22:48:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
4;22:48:39;22:48:39;22:48:39;22:48:39;22:48:39;22:48:39;;;22:48:39;22:48:39;22:48:39;22:48:39;22:48:40;22:48:40;22:48:40;22:48:40;22:48:40;22:48:40;;;22:48:40;22:48:40;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
5;22:48:40;22:48:40;22:48:40;22:48:40;22:48:40;22:48:40;;;22:48:40;22:48:40;22:48:40;22:48:40;22:48:41;22:48:41;22:48:41;22:48:41;22:48:41;22:48:41;;;22:48:41;22:48:41;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
6;22:48:41;22:48:41;22:48:41;22:48:41;22:48:41;22:48:41;;;22:48:41;22:48:41;22:48:41;22:48:41;22:48:42;22:48:42;22:48:42;22:48:42;22:48:42;22:48:42;;;22:48:42;22:48:42;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
7;22:48:42;22:48:42;22:48:42;22:48:42;22:48:42;22:48:42;;;22:48:42;22:48:42;22:48:42;22:48:42;22:48:43;22:48:43;22:48:43;22:48:43;22:48:43;22:48:43;;;22:48:43;22:48:43;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
8;22:48:43;22:48:43;22:48:43;22:48:43;22:48:43;22:48:43;;;22:48:43;22:48:43;22:48:43;22:48:43;22:48:44;22:48:44;22:48:44;22:48:44;22:48:44;22:48:44;;;22:48:44;22:48:44;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
9;22:48:44;22:48:44;22:48:44;22:48:44;22:48:44;22:48:44;;;22:48:44;22:48:44;22:48:44;22:48:44;22:48:45;22:48:45;22:48:45;22:48:45;22:48:45;22:48:45;;;22:48:45;22:48:45;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
10;22:48:45;22:48:45;22:48:45;22:48:45;22:48:45;22:48:45;;;22:48:45;22:48:45;22:48:45;22:48:45;22:48:46;22:48:46;22:48:46;22:48:46;22:48:46;22:48:46;22:48:46;22:48:46;22:48:46;22:48:46;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
11;22:48:46;22:48:46;22:48:46;22:48:46;22:48:46;22:48:46;;;22:48:46;22:48:46;22:48:46;22:48:46;22:48:47;22:48:47;22:48:47;22:48:47;22:48:47;22:48:47;;;22:48:47;22:48:47;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
12;22:48:47;22:48:47;22:48:47;22:48:47;22:48:47;22:48:47;;;22:48:47;22:48:47;22:48:47;22:48:47;22:48:48;22:48:48;22:48:48;22:48:48;22:48:48;22:48:48;;;22:48:48;22:48:48;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
13;22:48:48;22:48:48;22:48:48;22:48:48;22:48:48;22:48:48;;;22:48:48;22:48:48;22:48:48;22:48:48;22:48:49;22:48:49;22:48:49;22:48:49;22:48:49;22:48:49;;;22:48:49;22:48:49;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
14;22:48:49;22:48:49;22:48:49;22:48:49;22:48:49;22:48:49;;;22:48:49;22:48:49;22:48:49;22:48:49;22:48:49;22:48:49;22:48:49;22:48:49;22:48:49;22:48:49;;;22:48:50;22:48:50;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
15;22:48:50;22:48:50;22:48:50;22:48:50;22:48:50;22:48:50;;;22:48:50;22:48:50;22:48:50;22:48:50;22:48:50;22:48:50;22:48:50;22:48:50;22:48:50;22:48:50;;;22:48:51;22:48:51;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
16;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;;;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;;;22:48:52;22:48:52;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
17;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;;;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;;;22:48:53;22:48:53;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
