ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;4355.9775;4355.9775
1;4446.053548749999;4446.053548749999
2;4553.932308333333;4553.932308333333
3;4609.1499725;4609.1499725
4;4631.803733333333;4631.803733333333
5;4647.194319583333;4647.194319583333
6;4657.047434166667;4657.047434166667
7;4657.792705;4657.792705
8;4664.066395416667;4664.066395416667
9;4673.631547916667;4673.631547916667
10;4683.2945525;4683.2945525
11;4695.61014375;4695.61014375
12;4692.3870449999995;4692.3870449999995
13;4699.384662083333;4699.384662083333
14;4719.716242500001;4719.716242500001
15;4707.46724375;4707.46724375
16;4708.9700325;4708.9700325
17;4710.542804999999;4710.542804999999
18;4717.716935833333;4717.716935833333
19;4709.292281666667;4709.292281666667
20;4695.955228749999;4695.955228749999
21;4689.9949225;4689.9949225
22;4684.054350416666;4684.054350416666
23;4691.360796666667;4691.360796666667
24;4675.282662083334;4675.282662083334
25;4676.425110416667;4676.425110416667
26;4675.189615833333;4675.189615833333
27;4676.538592916667;4676.538592916667
28;4663.38709125;4663.38709125
29;4659.977112083333;4659.977112083333
30;4666.237180416667;4666.237180416667
31;4646.317813333333;4646.317813333333
32;4638.30300875;4638.30300875
33;4627.092865833333;4627.092865833333
34;4647.357919166666;4647.357919166666
35;4635.1989925;4635.1989925
36;4620.8259429166665;4620.8259429166665
37;4623.35994125;4623.35994125
38;4619.1681241666665;4619.1681241666665
39;4611.987631666667;4611.987631666667
40;4626.999574583333;4626.999574583333
41;4599.275830833333;4599.275830833333
42;4599.087945;4599.087945
43;4592.281480000001;4592.281480000001
44;4593.780790416667;4593.780790416667
45;4581.718043333334;4581.718043333334
46;4583.528249166667;4583.528249166667
47;4585.454215416667;4585.454215416667
48;4575.327910416667;4575.327910416667
49;4573.098284166666;4573.098284166666
50;4557.511435416667;4557.511435416667
51;4568.271554166667;4568.271554166667
52;4550.596927083333;4550.596927083333
53;4579.595378333333;4579.595378333333
54;4547.1178325;4547.1178325
55;4559.629575416666;4559.629575416666
56;4532.859402083333;4532.859402083333
57;4551.918707916667;4551.918707916667
58;4524.966783333333;4524.966783333333
59;4548.429132916666;4548.429132916666
60;4528.679040416667;4528.679040416667
61;4534.514356666667;4534.514356666667
62;4517.155942083334;4517.155942083334
63;4534.294972083333;4534.294972083333
64;4523.22946875;4523.22946875
65;4531.777108333333;4531.777108333333
66;4526.4109;4526.4109
67;4514.784723333333;4514.784723333333
68;4501.24363625;4501.24363625
69;4517.26687125;4517.26687125
70;4492.962192916667;4492.962192916667
71;4511.099609166667;4511.099609166667
72;4493.865439583333;4493.865439583333
73;4501.978264583334;4501.978264583334
74;4501.284286249999;4501.284286249999
75;4523.9294666666665;4523.9294666666665
76;4502.335235833333;4502.335235833333
77;4497.248061249999;4497.248061249999
78;4497.975854583333;4497.975854583333
79;4488.5664975;4488.5664975
80;4483.954040416667;4483.954040416667
81;4509.5247524999995;4509.5247524999995
82;4478.818485833333;4478.818485833333
83;4517.810547916666;4517.810547916666
84;4483.952802083333;4483.952802083333
85;4514.084750416667;4514.084750416667
86;4483.527832083333;4483.527832083333
87;4515.247224583333;4515.247224583333
88;4467.62627375;4467.62627375
89;4515.913024166666;4515.913024166666
90;4470.71686875;4470.71686875
91;4514.299827916667;4514.299827916667
92;4470.867762916667;4470.867762916667
93;4503.229207083333;4503.229207083333
94;4470.727128333333;4470.727128333333
95;4506.2170325;4506.2170325
96;4469.323405416666;4469.323405416666
97;4497.465650416667;4497.465650416667
98;4474.523824583333;4474.523824583333
99;4510.771753749999;4510.771753749999
100;4469.4895120833335;4469.4895120833335
101;4502.213442083334;4502.213442083334
102;4476.144979166666;4476.144979166666
103;4495.941248749999;4495.941248749999
104;4467.6511970833335;4467.6511970833335
105;4488.475111666667;4488.475111666667
106;4462.5856625;4462.5856625
107;4506.618092083333;4506.618092083333
108;4459.454392083333;4459.454392083333
109;4487.034574583333;4487.034574583333
110;4464.505077916666;4464.505077916666
111;4487.36294;4487.36294
112;4468.844254583333;4468.844254583333
113;4475.607320416667;4475.607320416667
114;4475.70405125;4475.70405125
115;4477.114331666667;4477.114331666667
116;4482.941957916666;4482.941957916666
117;4492.811235833334;4492.811235833334
118;4474.296635416667;4474.296635416667
119;4492.110531666667;4492.110531666667
120;4467.334922083333;4467.334922083333
121;4487.562303333334;4487.562303333334
122;4485.745752916667;4485.745752916667
123;4479.497812083333;4479.497812083333
124;4463.407401666667;4463.407401666667
125;4477.86356875;4477.86356875
126;4472.918562083333;4472.918562083333
127;4474.401646249999;4474.401646249999
128;4480.40414625;4480.40414625
129;4478.181662916667;4478.181662916667
130;4478.679649166666;4478.679649166666
